model,dataset,split,rows,positive_rate,PR_AUC,ROC_AUC,precision@0.5,recall@0.5,F1@0.5,Brier,TN,FP,FN,TP,Recall@Top10%,scale_pos_weight
Logistic Regression,cost,validation,14442,0.0347597285694502,0.0607428922806564,0.6032194035908018,0.0425048300943289,0.7450199203187251,0.0804214600580582,0.3346419521385176,5515,8425,128,374,0.2051792828685259,
Logistic Regression,cost,test,13939,0.0377358490566037,0.0640556602993074,0.63646017327835,0.0394381844151721,0.9448669201520912,0.0757160268129189,0.4552058938883967,1308,12105,29,497,0.2338403041825095,
Logistic Regression,schedule,validation,6361,0.1842477597861971,0.4747522034181018,0.8041326263157098,0.3334467505954406,0.8361774744027304,0.4767696424227682,0.2100471541962916,3230,1959,192,980,0.3293515358361775,
Logistic Regression,schedule,test,7968,0.2142319277108433,0.41104094553253,0.7235102189683357,0.2958152958152958,0.840656121851201,0.4376334248246417,0.2664426716731917,2845,3416,272,1435,0.2437024018746338,
XGBoost,cost,validation,14442,0.03475972856945021,0.07220179902517058,0.6401925297375777,0.100418410041841,0.14342629482071714,0.11812961443806398,0.06476466357707977,13295,645,430,72,0.2290836653386454,29.72684085510689
XGBoost,cost,test,13939,0.03773584905660377,0.06294428496271318,0.5988690246877568,0.10483870967741936,0.09885931558935361,0.10176125244618395,0.06438151746988297,12969,444,474,52,0.20532319391634982,29.72684085510689
XGBoost,schedule,validation,6361,0.18424775978619715,0.4895274526908286,0.7824760733686447,0.5149532710280373,0.47013651877133106,0.4915254237288136,0.13078397512435913,4670,519,621,551,0.318259385665529,4.646635850025681
XGBoost,schedule,test,7968,0.21423192771084337,0.4195531385083696,0.7327182424895863,0.4086393088552916,0.5541886350322203,0.47041272998508205,0.18321044743061066,4892,1369,761,946,0.22964264792032807,4.646635850025681
