model,dataset,split,rows,positive_rate,PR_AUC,ROC_AUC,precision@0.5,recall@0.5,F1@0.5,Brier,TN,FP,FN,TP,Recall@Top10%
Logistic Regression,cost,validation,14442,0.03475972856945021,0.06074289228065642,0.6032194035908018,0.0425048300943289,0.7450199203187251,0.08042146005805827,0.33464195213851766,5515,8425,128,374,0.2051792828685259
Logistic Regression,cost,test,13939,0.03773584905660377,0.06405566029930748,0.63646017327835,0.039438184415172196,0.9448669201520913,0.07571602681291895,0.4552058938883967,1308,12105,29,497,0.2338403041825095
Logistic Regression,schedule,validation,6361,0.18424775978619715,0.47475220341810187,0.8041326263157098,0.3334467505954406,0.8361774744027304,0.4767696424227682,0.2100471541962916,3230,1959,192,980,0.3293515358361775
Logistic Regression,schedule,test,7968,0.21423192771084337,0.41104094553253007,0.7235102189683357,0.2958152958152958,0.840656121851201,0.4376334248246417,0.26644267167319174,2845,3416,272,1435,0.24370240187463385
