task,threshold_basis,validation_threshold,validation_f1_or_f2,validation_precision,validation_recall,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,test_positive_pred
cost,Validation max F1,0.4886904582034684,0.12724757952944882,0.07709497206703911,0.3641160949868074,0.1247196157461029,0.7214864638168613,0.10116229014205769,0.5516431924882629,0.1709712622771917,8071,2088,191,235,2323
cost,Validation max F2,0.48725361429967606,0.20889690411751383,0.07675317504141359,0.36675461741424803,0.1247196157461029,0.7214864638168613,0.10038281582305401,0.5539906103286385,0.16996759092545913,8044,2115,190,236,2351
schedule,Validation max F1,0.49592000246047974,0.504679625629483,0.4010297482837529,0.6805825242718446,0.5515805379718944,0.787502570069156,0.5437693099897013,0.4897959183673469,0.5153733528550513,3392,443,550,528,971
schedule,Validation max F2,0.22525088489055634,0.644637053087449,0.2916666666666667,0.9242718446601942,0.5515805379718944,0.787502570069156,0.331297161336687,0.8552875695732839,0.4775964775964776,1974,1861,156,922,2783
