pr_auc,roc_auc,precision,recall,f1,recall_at_top10,task,model,split,n,positives
0.07636804386895024,0.6322447822514167,0.07935523868567886,0.33773087071240104,0.1285140562248996,0.25857519788918204,cost,LightGBM tuned,validation,10580,379
0.10716257230814932,0.6755411723548629,0.10934256055363321,0.37089201877934275,0.16889363976483165,0.3145539906103286,cost,LightGBM tuned,test,10585,426
0.4634425451737201,0.7685481769576715,0.3773057574063723,0.6553398058252428,0.47889322454771194,0.26019417475728157,schedule,XGBoost tuned,validation,5054,1030
0.5528854254438529,0.7831948922747953,0.3729562527618206,0.7829313543599258,0.5052379527087698,0.32653061224489793,schedule,XGBoost tuned,test,4913,1078
