task,checkpoints,mean_pr_auc,median_pr_auc,mean_roc_auc,median_roc_auc,mean_actual_positive_rate
cost,11,0.21042265308912242,0.2214297238482343,0.8032200361108526,0.836457699330493,0.04291928949868083
schedule,12,0.5329586508736536,0.5899095286466693,0.7964077323972741,0.8126179009159512,0.22116431826748253
