risk_target,horizon,final_model,features,test_pr_auc,test_roc_auc,locked_threshold,test_precision,test_recall,test_f1,backtest_checkpoints,backtest_mean_pr_auc,backtest_mean_roc_auc
Cost deterioration,Next 3 reporting observations,Tuned LightGBM,State + trajectory,0.0763680438689502,0.6322447822514167,0.4886904582034684,0.1011622901420576,0.5516431924882629,0.1709712622771917,11,0.2104226530891224,0.8032200361108526
Schedule deterioration,Next 3 reporting observations,Tuned XGBoost,State-only,0.4634425451737201,0.7685481769576715,0.4959200024604797,0.5437693099897013,0.4897959183673469,0.5153733528550513,12,0.5329586508736536,0.7964077323972741
