observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200709_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2007-09,2003-09,,343.26,,343.26,0.0,,281.87,2006-06,,2008-03,21.0,,5.0,35,36,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,1
FR_200709_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2007-09,2001-05,,4213.0,,3282.0,-931.0,,2103.0,2009-10,,2008-03,-19.0,,,66,75,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,2
FR_200709_003,,,3,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2007-09,2001-12,,13171.0,,13171.0,0.0,,9777.0,2008-12,,2008-12,0.0,,,48,119,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,3
FR_200709_004,,,4,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2007-09,2002-04,,3072.0,,3072.0,0.0,,1940.0,2008-02,,2008-12,10.0,,2.0,52,75,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,4
FR_200709_005,,,5,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2007-09,2003-09,,3492.0,,3492.0,0.0,,708.45,2010-09,,2010-09,0.0,,,9,76,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,5
FR_200709_006,,,6,Construction of New Internation Terminal Building,,,ATOMIC ENERGY,2007-09,2006-10,,245.58,,245.58,0.0,,26.69,2008-12,,2008-12,0.0,,,10,28,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,6
FR_200709_007,,,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING,,,ATOMIC ENERGY,2007-09,2007-02,,290.92,,290.92,0.0,,20.71,2009-02,,2009-02,0.0,,,8,24,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,7
FR_200709_008,,,8,POOTKI BALIHARI UG,,,COAL,2007-09,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,172.02,1994-03,2000-03,2007-09,162.0,90.0,,5,5,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,8
FR_200709_009,,,9,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2007-09,2003-10,,176.55,,176.55,0.0,,71.99,2008-03,,2008-03,0.0,,,3,4,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,9
FR_200709_010,,,10,RAJMAHAL EXPANSION OC PROJECT,,,COAL,2007-09,2006-01,,650.06,,650.06,0.0,,,2009-03,,2009-03,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,10
FR_200709_011,,,11,BARSINGSAR TPS OF 250 MW,,,COAL,2007-09,2004-12,,1114.18,,1626.09,511.91,,522.92,2009-06,,2009-06,0.0,,,10,26,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,11
FR_200709_012,,,12,BARSINGSAR LIGNITE MINE,,,COAL,2007-09,2004-12,,254.07,,254.6,0.53,,120.29,2009-06,,2009-06,0.0,,,8,21,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,12
FR_200709_013,,,13,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2007-09,2004-10,,2030.78,,2453.57,422.79,,729.32,2009-06,,2009-06,0.0,,,6,24,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,8,13
FR_200709_014,,,14,EXPANSION OF MINE-II,,,COAL,2007-09,2004-10,,2161.28,,2295.93,134.65,,1033.68,2009-06,,2009-06,0.0,,,12,23,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,14
FR_200709_015,,,15,KRISHNASHILA,,,COAL,2007-09,2006-05,,789.88,,789.88,0.0,,69.26,2010-03,,2010-03,0.0,,,0,3,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,15
FR_200709_016,,,16,JHANJRA LONGWAL UG PHASE-II,,,COAL,2007-09,2006-11,,287.18,,287.18,0.0,,,2009-11,,2010-03,4.0,,,0,1,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,16
FR_200709_017,,,17,KULDA OCP,,,COAL,2007-09,2005-01,,302.96,,302.96,0.0,,42.48,2010-03,,2010-03,0.0,,,0,4,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,17
FR_200709_018,,,18,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2007-09,2005-07,,1667.55,,1667.55,0.0,,487.3,2010-03,,2010-03,0.0,,,2,12,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,18
FR_200709_019,,,19,DIPKA EXPANSION OCP,,,COAL,2007-09,2005-07,,1268.53,,1268.53,0.0,,473.53,2010-03,,2010-03,0.0,,,0,11,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,19
FR_200709_020,,,20,BHARATPUR OC EXPANSION PHASE-III PROJECT,,,COAL,2007-09,2007-02,,131.39,,131.39,0.0,,,2010-03,,2010-03,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,20
FR_200709_021,,,21,ASHOK OC EXPANSION,,,COAL,2007-09,2006-04,,471.66,,471.66,0.0,,85.2,2011-03,,2011-03,0.0,,,0,2,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,21
FR_200709_022,,,22,KUSMUNDA EXPANSION OCP,,,COAL,2007-09,2006-06,,737.65,,737.65,0.0,,439.51,2011-03,,2011-03,0.0,,,0,4,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,22
FR_200709_023,,,23,BLOCK-B OCP NCL (3.5 MTY),,,COAL,2007-09,2006-07,,746.04,,746.04,0.0,,25.33,2012-03,,2011-06,-9.0,,,0,4,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,23
FR_200709_024,,,24,SHANTIKHANI LONGWALL PROJECTS,,,COAL,2007-09,2006-10,,249.03,,249.03,0.0,,11.14,2012-03,,2012-03,0.0,,,1,4,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,24
FR_200709_025,,,25,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",,,COAL,2007-09,2007-10,,529.4,,259.4,-270.0,,,2012-03,,2012-03,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,25
FR_200709_026,,,26,BHUBANESHWARI OCP (MAHANADI COALFIELDS LTD.) (10 MTY),,,COAL,2007-09,2005-01,,336.68,,336.68,0.0,,17.62,2012-03,,2012-03,0.0,,,0,5,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,26
FR_200709_027,,,27,MAGADH OC (CCL),CCL,,COAL,2007-09,2006-07,,469.78,,469.78,0.0,,2.61,2012-07,,2012-07,0.0,,,0,3,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,27
FR_200709_028,,,28,JALLARAM SHAFT PROJECT UG,,,COAL,2007-09,2007-09,,467.78,,467.78,0.0,,9.64,2013-03,,2013-03,0.0,,,0,7,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,28
FR_200709_029,,,29,ADRIYALA SHAFT PROJECT,,,COAL,2007-09,2006-09,,212.34,,212.34,0.0,,8.08,2013-03,,2013-03,0.0,,,2,11,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,29
FR_200709_030,,,30,BINA EXTENSION OC PROJECT,,,COAL,2007-09,2006-11,,168.97,,168.97,0.0,,2.73,2014-03,,2014-03,0.0,,,1,1,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,30
FR_200709_031,,,31,AMLOHRI EXPANSION PROJECT 4 TO 10 (6 MTY),,,COAL,2007-09,2006-05,,1352.04,,1352.04,0.0,,,2014-03,,2014-03,0.0,,,2,4,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,9,31
FR_200709_032,,,32,SECOND PHASE EXPANSION OF NALCO,,,MINES,2007-09,2004-10,,4091.51,,4091.51,0.0,,1150.37,2008-12,,2008-12,0.0,,,25,111,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,32
FR_200709_033,,,33,REBUILDING OF BLAST FURNACE No. 2,,,STEEL,2007-09,2006-03,,103.93,,103.93,0.0,,74.07,2007-09,,2007-11,2.0,,1.0,3,3,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,33
FR_200709_034,,,34,"COKE OVEN BATTERY No.4 RASHTRIYA ISPAT NIGAM LTD.,VIZAG",,,STEEL,2007-09,2003-12,,286.63,,355.21,68.58,,269.3,2006-12,,2007-12,12.0,,,0,21,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,34
FR_200709_035,,,35,"INSTALLATION OF SLAB CASTLER, RH DEGASSER AND LADLE FURNACE",,,STEEL,2007-09,2005-07,,520.76,,520.76,0.0,,302.44,2007-09,,2008-03,6.0,,,6,6,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,35
FR_200709_036,,,36,REBUILDING OF COKE OVEN BATTERY No.5,,,STEEL,2007-09,2004-12,,219.04,,219.04,0.0,,90.88,2007-01,,2008-03,14.0,,,4,8,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,36
FR_200709_037,,,37,COAL DUST INJECTION SYSTEM IN BLAST FURNACE-2 & 3,,,STEEL,2007-09,2006-04,,132.73,,133.92,1.19,,24.81,2008-05,,2008-07,2.0,,2.0,0,2,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,37
FR_200709_038,,,38,Coking Coal Storage Facilities in Coal Handling Plant,,,STEEL,2007-09,2006-09,,133.91,,134.32,0.41,,16.35,2008-03,,2008-09,6.0,,6.0,1,3,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,38
FR_200709_039,,,39,INSTALLATION OF MSDS-V & TRANSMISSION NETWORK,,,STEEL,2007-09,2007-05,,143.02,,143.02,0.0,,11.18,2008-11,,2008-11,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,39
FR_200709_040,,,40,INSTALLATION OF NEW COKE OVEN GAS HOLDER,,,STEEL,2007-09,2007-07,,123.22,,123.22,0.0,,0.01,2009-06,,2009-06,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,40
FR_200709_041,,,41,INSTALLATION OF 700 TONNES PER DAY OXYGEN PLANT,,,STEEL,2007-09,2007-07,,302.7,,302.7,0.0,,0.08,2009-06,,2009-06,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,41
FR_200709_042,,,42,700 tpd Air Separation Unit-4 at Oxygen Plant-II,,,STEEL,2007-09,2007-07,,244.3,,244.3,0.0,,,2009-07,,2009-07,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,42
FR_200709_043,,,43,REBUILDING OF COKE OVEN BATTERY NO.4,,,STEEL,2007-09,2007-05,,248.94,,248.94,0.0,,2.34,2009-08,,2009-08,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,43
FR_200709_044,,,44,REBUILDING OF COKE OVEN BATTERY NO.10,,,STEEL,2007-09,2007-03,,416.5,,416.5,0.0,,7.78,2009-09,,2009-09,0.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,44
FR_200709_045,,,45,Development of Bailadila Iron Ore project Deposite- 11B,,,STEEL,2007-09,2003-01,,295.89,,295.89,0.0,,20.17,2009-10,,2009-10,0.0,,,2,20,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,45
FR_200709_046,,,46,EXPANSION OF RINL/VSP FROM 3 MTPY-6.3 MTPY OF LIQUID STEEL,,,STEEL,2007-09,2005-10,,8692.0,,8692.0,0.0,,508.0,2009-10,,2010-02,4.0,,,0,126,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,10,46
FR_200709_047,,,47,"DEVELOPMENT OF SB-11, BASSEIN FIELD",,,PETROLEUM,2007-09,2005-03,,245.33,,140.04,-105.29,,132.47,2007-05,,2007-11,6.0,,2.0,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,11,47
FR_200709_048,,,48,"DAHEJ-HAZIRA-URAN GAS PIPELINE, MULTISTATE",,,PETROLEUM,2007-09,2002-12,,1416.0,,1521.23,105.23,,978.95,2005-07,,2007-12,29.0,,,9,10,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,11,48
FR_200709_049,,,49,ADDITIONAL DEVELOPMENT OF A-1 LAYER,,,PETROLEUM,2007-09,2005-04,,910.53,,910.53,0.0,,734.67,2006-12,,2007-12,12.0,,,0,0,,,,MonthlyFR_sep_2007.pdf,Sector-Wise analysis of projects,11,49
