project_id,canonical_project_code,canonical_project_name,canonical_agency,canonical_state,canonical_sector,first_report_date,last_report_date,observation_count,identity_confidence
PRJ_CODE_020100040,020100040,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2001-08,2012-11,131,HIGH
PRJ_CODE_020100041,020100041,KAIGA 3 and 4 UNITS (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-03,2010-12,17,HIGH
PRJ_CODE_020100042,020100042,RAJASTHAN ATOMIC POWER PROJECT 5 and 6 (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-03,2010-02,7,HIGH
PRJ_CODE_020100044,020100044,PROTOTYPE FAST BREEDER REACTOR,"BHAVINI, 500 MWE",,ATOMIC ENERGY,2003-11,2012-11,104,HIGH
PRJ_CODE_060100087,060100087,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2004-12,2012-11,91,HIGH
PRJ_CODE_060100088,060100088,EXPANSION OF MINE-II,NLC,,COAL,2004-12,2010-02,61,HIGH
PRJ_CODE_060100089,060100089,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2009-03,2012-01,29,HIGH
PRJ_CODE_060100090,060100090,BARSINGSAR LIGNITE MINE,NLC,,COAL,2005-02,2010-08,65,HIGH
PRJ_CODE_060100092,060100092,KULDA OCP,MAHANADI COALFIELDS LTD.,,COAL,2005-03,2012-11,88,HIGH
PRJ_CODE_060100093,060100093,"GEVRA EXPANSION OCP (SECL) (25 MTY) - SECL,Chhatisgarh",25 MTY,,COAL,2009-03,2012-11,37,HIGH
PRJ_CODE_060100094,060100094,DIPKA EXPANSION OCP,20 MTY,,COAL,2005-09,2012-11,83,HIGH
PRJ_CODE_060100096,060100096,"ASHOK EXPN.OCP -CCL (10 MTY) - CCL,Jharkhandd",5 MTY,,COAL,2009-03,2012-11,37,HIGH
PRJ_CODE_100100054,100100054,SECOND PHASE EXPANSION OF NALCO,,,MINES,2004-12,2011-11,81,HIGH
PRJ_CODE_120100061,120100061,COKE OVEN BATTERY NO. 4(PHASE- 1) (RINL) - Total,RINL,,STEEL,2009-03,2009-03,1,HIGH
PRJ_CODE_120100067,120100067,EXPANSION OF RINL/VSP FROM 3 MTPY-6.3 MTPY OF LIQUID STEEL,,,STEEL,2005-11,2012-11,81,HIGH
PRJ_CODE_120100069,120100069,COAL DUST INJECTION IN BF-2 and 3 -,,,STEEL,2009-03,2010-03,8,HIGH
PRJ_CODE_160100168,160100168,C2-C3 & LPG RECOVERY FROM LNG AT DAHEJ,ONGC,,PETROLEUM,2004-01,2011-06,88,HIGH
PRJ_CODE_160100215,160100215,"IOR LAKWA - LAKHMANI (ONGCL) - ONGC,Assam",ONGCL,,PETROLEUM,2009-03,2012-11,37,HIGH
PRJ_CODE_160100216,160100216,"IOR GELEKI (ONGCL) - ONGC,Assam",ONGCL,,PETROLEUM,2009-03,2012-11,37,HIGH
PRJ_CODE_160100217,160100217,"IOR, RUDRASAGAR (ONGCL) - ONGC,Assam",ONGCL,,PETROLEUM,2009-03,2012-11,37,HIGH
PRJ_CODE_160100231,160100231,"INTEGRATED DEV OF G1 and GS-15 (ONGCL) - ONGC,Multi State",ONGCL,,PETROLEUM,2004-04,2012-11,38,HIGH
PRJ_CODE_160100232,160100232,DEVELOPMENT OF BASSEIN EAST (ONGCL) -,ONGCL,,PETROLEUM,2003-11,2009-09,4,HIGH
PRJ_CODE_160100236,160100236,GREEN FUELS & EMISSION CONTROL PROJECT AT MUMBAI REFINERY,HPCL,,PETROLEUM,2003-10,2009-05,66,HIGH
PRJ_CODE_160100281,160100281,CLEAN FUELS PROJECT AT VISAKH REFINERY(HPCL) -,HPCL,,PETROLEUM,2008-03,2010-05,11,HIGH
PRJ_CODE_160100289,160100289,INST. OF FACILITIES FOR IMPROVEMENT IN DIESEL QUALITY (IOCL),IOCL,,PETROLEUM,2005-12,2010-10,58,HIGH
PRJ_CODE_160100291,160100291,AUGMENTATION OF MUNDRA- PANIPAT CRUDE OIL PIPLINE -,,,PETROLEUM,2009-03,2009-03,1,HIGH
PRJ_CODE_160100292,160100292,PANIPAT-NAPHTA CRACKER PROJECT,,,PETROLEUM,2006-05,2010-08,51,HIGH
PRJ_CODE_180100078,180100078,LOKTAK D/S HEP(NHPC) - Total Health & Family Welfare,NHPC,,POWER,2009-03,2010-12,17,HIGH
PRJ_CODE_180100165,180100165,"TUIRIAL HE PROJECT(NEEPCO) - NEEPCO,Mizoram",NEEPCO,,POWER,2009-03,2012-04,31,HIGH
PRJ_CODE_180100184,180100184,"KOTESHWAR HEP(THDC) - THDCL,Uttaranchal",THDC,,POWER,2009-03,2012-03,31,HIGH
PRJ_CODE_180100210,180100210,"PARBATI HEP (NHPC) II - NHPC,Himachal Pr.",NHPC,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100211,180100211,"KOLDAM HEP (NTPC) - NTPC,Himachal Pr.",NTPC,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100220,180100220,SEWA- II H.E.P (NHPC) -,NHPC,,POWER,2009-03,2010-10,15,HIGH
PRJ_CODE_180100221,180100221,"SUBANSIRI LOWER H.E.P (NHPC) - NHPC,Arunachal Pr.",NHPC,,POWER,2003-10,2012-11,40,HIGH
PRJ_CODE_180100222,180100222,"TEESTA LOW DAM STAGE III HYDROELECTRIC POWER PROJE - NHPC,West Bengal",NHPC,,POWER,2009-03,2012-11,36,HIGH
PRJ_CODE_180100229,180100229,"SIPAT STPP STAGE - I (NTPC) - NTPC,Chhatisgarh",NTPC,,POWER,2009-03,2012-07,35,HIGH
PRJ_CODE_180100230,180100230,KAHAL GAON STPP STAGE - II (NTPC) -,NTPC,,POWER,2009-03,2009-03,1,HIGH
PRJ_CODE_180100239,180100239,"KAMENG HYDROELECTRIC PROJECT (NEEPCO) - NEEPCO,Arunachal Pr.",NEEPCO,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100241,180100241,"CHAMERA,STAGE-III (NHPC) - NHPC,Himachal Pr.",NHPC,,POWER,2009-03,2012-05,33,HIGH
PRJ_CODE_180100242,180100242,"BARH STPP STAGE I (3X660MW) NTPC - NTPC,Bihar",3X660MW,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100243,180100243,"TEESTA LOW DAM HEP, STAGE-IV (NHPC) - NHPC,West Bengal",NHPC,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100246,180100246,KAIGA 3&4 TRANSMISSION SYSTEM (759 CKM),PGCIL,,POWER,2005-09,2012-11,83,HIGH
PRJ_CODE_180100247,180100247,"NEYVELI TS-II TRANSIMISSION SYSTEM, 838 CKM",PGCIL,,POWER,2005-09,2010-02,53,HIGH
PRJ_CODE_180100250,180100250,"PARBATI H.E.P. STAGE -III (NHPC) - NHPC,Himachal Pr.",NHPC,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100251,180100251,URI H.E.P STAGE -II (NHPC),NHPC,,POWER,2005-10,2012-11,82,HIGH
PRJ_CODE_180100253,180100253,SYSTEM STRENGTHENING-VII OF SOUTHERN REGION (248 CKM),PGCIL,,POWER,2005-10,2010-02,51,HIGH
PRJ_CODE_180100256,180100256,KOTESWAR TRANSMISSION SYSTEM (PGCIL),PGCIL,,POWER,2005-10,2011-05,67,HIGH
PRJ_CODE_180100257,180100257,SIPAT-II SUPP. TRANS. SYSTEM (PGCIL) -,PGCIL,,POWER,2009-03,2010-01,6,HIGH
PRJ_CODE_180100258,180100258,"KUDANKULAM-APP TRANS. SYSTEM (PGCIL) - PGCIL,Tamil Nadu",PGCIL,,POWER,2009-03,2012-11,37,HIGH
PRJ_CODE_180100260,180100260,TRANSMISSION SY. ASSOCIATED WITH BARH GENER. PROJECT(P.GR.),P.GR.,,POWER,2005-11,2012-05,77,HIGH
PRJ_CODE_180100261,180100261,TRANSMISSION SYSTEM ASSOCIATED WITH PARBATI = II HEP,,,POWER,2005-11,2011-03,64,HIGH
PRJ_CODE_180100263,180100263,KOLDAM HEP TRANSMISSION LINE (PGCIL) -,PGCIL,,POWER,2006-11,2010-02,12,HIGH
PRJ_CODE_210100001,210100001,NORTH EAST INDIRA GANDHI INST- ITUTE OF HEALTH & MS - Total,,,POWER,2009-03,2010-09,14,HIGH
PRJ_CODE_220100007,220100007,"GUNA-ETAWAH(NCR), NL - NCR,Multi State",NCR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100009,220100009,FREIGHT OPERATIONS INFORMATION SYSTEM,FOIS,,RAILWAYS,2001-04,2012-11,134,HIGH
PRJ_CODE_220100062,220100062,"VIRAMGAM-BHILDI(WR),GC - WR,Multi State",WR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100106,220100106,"PEDAPALLI-KARIMNAGAR- NIZAMABAD NL(SCR) - SCR,Andhra Pradesh",SCR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100116,220100116,"RAJKOT-VERAVAL (GC) AND WANSJALIYA-JETALSAR GC AN - WR,Gujarat",WR,,RAILWAYS,2004-05,2011-08,27,HIGH
PRJ_CODE_220100118,220100118,"AMRAVATI-NARKHER NL(CR) - CR,Maharashtra",CR,,RAILWAYS,2004-07,2012-11,38,HIGH
PRJ_CODE_220100125,220100125,"HOTGI-GADAG(GC),SWR -",GC,,RAILWAYS,2009-03,2010-12,17,HIGH
PRJ_CODE_220100131,220100131,AMBALA-MORADABAD,RE,,RAILWAYS,2001-04,2011-02,116,HIGH
PRJ_CODE_220100133,220100133,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR - (NR),J & K",NR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100135,220100135,"New BG line Rly line from Eklakhi- Balurghat includ - NEFR,West Bengal",NL,,RAILWAYS,2009-03,2013-04,40,HIGH
PRJ_CODE_220100148,220100148,"LANJHIGARH-JUNAGARH NL(ECOR) - ECOR,Orissa",ECOR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100149,220100149,"DALLI-RAJHARA - RAOGHAT(PART OF DALLI-RAJHARA-JAGD - RVNL,Chhatisgarh",PART OF DALLIRAJHARA- JAGDALPUR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100151,220100151,"CALICUT-MANGALORE (DL) (SR) - SR,Multi State",SR,,RAILWAYS,2004-01,2012-11,40,HIGH
PRJ_CODE_220100159,220100159,THANE-TURBHE-NERUL- VASHI,MTP,,RAILWAYS,2001-04,2009-05,94,HIGH
PRJ_CODE_220100162,220100162,"MIRAJ-LATUR ROAD(GC),CR -",GC,,RAILWAYS,2009-03,2011-01,18,HIGH
PRJ_CODE_220100164,220100164,"BELAPUR-SEAWOOD-URAN ELECTRIF-IED DOUBLE LINE(MTP) - MRTP,Maharashtra",MTP,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100168,220100168,"MANDARHILL-DUMKA-RAMPURHAT (NL),ER - ER,Jharkhandd",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100170,220100170,"LUMDING-SILCHAR(GC),NEFR -",GC,,RAILWAYS,2009-03,2010-02,7,HIGH
PRJ_CODE_220100181,220100181,"AHMEDNAGAR-PARLI VAIJNATH(NL) CR - CR,Maharashtra",NL,,RAILWAYS,2009-03,2013-01,39,HIGH
PRJ_CODE_220100183,220100183,"HASSAN-BANGALORE VIA SHRAVANA-BELGOLA(NL),SWR - SWR,Karnataka",NL,,RAILWAYS,2006-09,2013-01,41,HIGH
PRJ_CODE_220100184,220100184,DAUSA-GANGAPUR CITY,NL,,RAILWAYS,2001-04,2013-01,136,HIGH
PRJ_CODE_220100185,220100185,"AJMER-UDAIPUR-CHITTAURGARH (GC),NWR - NWR,Rajasthan",GC,,RAILWAYS,2009-03,2011-07,24,HIGH
PRJ_CODE_220100186,220100186,"GONDIA-JABALPUR(GC),(SECR) - SECR,Multi State",SECR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100187,220100187,"SURENDRANAGAR- BHAVNAGAR(GC),WR - WR,Gujarat",GC,,RAILWAYS,2002-06,2011-06,24,HIGH
PRJ_CODE_220100188,220100188,"NANGALDAM-TALWARA(NL),NR - (NR),Multi State",NR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100190,220100190,"KADUR-CHIKMAGALUR- SAKLESHPUR (NL),(SWR) - SWR,Karnataka",SWR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100191,220100191,"KARUR-SALEM(NL),SR - SR,Tamil Nadu",NL,,RAILWAYS,2009-03,2012-11,38,HIGH
PRJ_CODE_220100192,220100192,"NANDYAL-YERRAGUNTLA(NL),SCR - SCR,Andhra Pradesh",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100193,220100193,"HUBLI-ANKOLA(NL),SWR - SWR,Karnataka",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100194,220100194,"MUZAFFARPUR-SITAMARHI(NL),ECR - ECR,Bihar",NL,,RAILWAYS,2009-03,2012-05,33,HIGH
PRJ_CODE_220100195,220100195,"HOSPET-GUNTAKAL(LD),SCR -",LD,,RAILWAYS,2009-03,2010-08,13,HIGH
PRJ_CODE_220100197,220100197,"KANPUR-KASGANJ- MATHURA(GC),NER - NER,Uttar Pradesh",GC,,RAILWAYS,2009-03,2013-01,38,HIGH
PRJ_CODE_220100201,220100201,"RAIL-CUM-ROAD BRIDGE OVER RIVER BRAHAMAPUTRA BRIDG - NEFR,Assam",,,RAILWAYS,2008-12,2012-11,38,HIGH
PRJ_CODE_220100205,220100205,"MUNEERABAD- MAHABOOBNAGAR(NL),SCR - SCR,Multi State",NL,,RAILWAYS,2003-09,2012-11,40,HIGH
PRJ_CODE_220100208,220100208,"HOWRAH-AMTA-CHAMPADANGA NL (SER) - SER,West Bengal",SER,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100212,220100212,"KOTTUR-HARIHAR(NL),(SWR) - SWR,Karnataka",SWR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100214,220100214,"RANCHI-LOHARDAGA(GC),SER - SER,Jharkhandd",GC,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100220,220100220,"MACHERLA-NALGONDA(NL)(SCR) - SCR,Andhra Pradesh",SCR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100221,220100221,2ND BRIDGE ON BIRUPA AND MAHANADI(B and S) (ECOR) -,ECOR,,RAILWAYS,2007-02,2009-09,5,HIGH
PRJ_CODE_220100222,220100222,"KODERMA-RANCHI VIA BARKAKANA (NL),ECR - ECR,Jharkhandd",NL,,RAILWAYS,2001-05,2012-11,41,HIGH
PRJ_CODE_220100224,220100224,"NEW JALPAIGURI-NEW BONGAIGAON (GC),NEFR -",GC,,RAILWAYS,2009-02,2010-08,15,HIGH
PRJ_CODE_220100226,220100226,DLW GM 4000/3000 HP DIESEL LOCOS,,,RAILWAYS,2001-04,2010-03,103,HIGH
PRJ_CODE_220100232,220100232,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR) - NCR,Multi State",NCR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100233,220100233,"CONV.OF 1500V DC TRACTION TO 25 KV AC,WR - RE,Maharashtra",,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100240,220100240,"JAYANAGAR-DARBHANGA-NARKATIA GANJ(GC),ECR - ECR,Bihar",GC,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100241,220100241,"CHANDIGARH-LUDHIANA(NEW BG LINE),NR - (NR),Punjab",NR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100243,220100243,"AGRA-ETAWAH VIA FATEHABAD AND BAH (NL) NCR - NCR,Uttar Pradesh",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100244,220100244,TAHANJAVUR-VILLUPURAM GAUGE CONVERSION (G.C)(SR) -,SR,,RAILWAYS,2009-03,2010-08,13,HIGH
PRJ_CODE_220100247,220100247,"KATIHAR - JOGBANI (GC)(NEFR) - NEFR,Bihar",NEFR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100249,220100249,KUTTIPURAM-CALICUT INCLD. SHORANUR-M-LORE (DL) (SR) -,SR,,RAILWAYS,2009-03,2011-02,19,HIGH
PRJ_CODE_220100251,220100251,VILLUPURAM-KATPADI,SR,,RAILWAYS,2001-12,2011-05,111,HIGH
PRJ_CODE_220100252,220100252,ANGAMALI-SABARIMALA,SR,,RAILWAYS,2001-12,2012-11,126,HIGH
PRJ_CODE_220100253,220100253,PURNA-AKOLA,G.C,,RAILWAYS,2002-04,2011-02,104,HIGH
PRJ_CODE_220100254,220100254,"GULBARGA-BIDAR,SCR(NL) - SCR,Karnataka",NL,,RAILWAYS,2009-03,2012-11,34,HIGH
PRJ_CODE_220100255,220100255,"GONDA-GORAKHPUR LOOP WITH ANAND NAGAR-NAUTANWA GC (NER) - NER,Uttar Pradesh",NER,,RAILWAYS,2005-12,2012-11,38,HIGH
PRJ_CODE_220100256,220100256,"KAPTANGANJ-THAWE-SIWAN- CHHAPRA GC (NER) - NER,Multi State",NER,,RAILWAYS,2009-03,2013-04,40,HIGH
PRJ_CODE_220100257,220100257,"KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR) - ECR,Bihar",ECR,,RAILWAYS,2009-03,2013-01,39,HIGH
PRJ_CODE_220100258,220100258,"JALANDHAR-PATHANKOT-JAMMU- TAWI (LD),NR - (NR),Multi State",NR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100260,220100260,"REINGUNTA-GUNTAKAL(RE) - RVNL,Andhra Pradesh",RE,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100262,220100262,"TIRUCHIRAPPALI-NAGORE- KARAIKKAL(SR)(GC) - SR,Tamil Nadu",GC,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100263,220100263,"QUILON-TIRUNELVELI-TENKASI- VIRUDHUNAGAR(SR)(GC) - SR,Multi State",GC,,RAILWAYS,2009-03,2013-01,39,HIGH
PRJ_CODE_220100264,220100264,DEOGHAR-DUMKA NEW BG LINE (DOUBL.)(ER) -,ER,,RAILWAYS,2004-07,2011-04,23,HIGH
PRJ_CODE_220100265,220100265,"KOTLPALLI-NARASAPUR (NL) (SCR) - SCR,Andhra Pradesh",SCR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100266,220100266,"MAYNAGURI TO JOGIGHOPA VIA CHANGRA (NL),NEFR",NL,,RAILWAYS,2003-08,2012-11,106,HIGH
PRJ_CODE_220100267,220100267,GOOTY- RENIGUNTA PATCH DOUBLING PH-II (DL) (SCR) -,SCR,,RAILWAYS,2009-03,2011-02,19,HIGH
PRJ_CODE_220100268,220100268,TOLLYGANJ-GARIA,MTP,,RAILWAYS,2003-08,2012-11,106,HIGH
PRJ_CODE_220100270,220100270,"GADWAL - RAICHUR (NL), SCR - SCR,Multi State",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100271,220100271,BARAMATI - LONAND,NL,,RAILWAYS,2004-02,2010-03,71,HIGH
PRJ_CODE_220100272,220100272,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER - ER,West Bengal",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100273,220100273,"DEOGHAR - SULTANGANJ (INL), ER - ER,Multi State",INL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100274,220100274,"BANGLORE - SATYAMANGALAM (NL)(SWR) - SWR,Karnataka",SWR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100277,220100277,"BANKURA - DAMODAR (GC) (SER) - SER,West Bengal",SER,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100278,220100278,HAPUR-KANKATHER,LD,,RAILWAYS,2004-04,2011-04,70,HIGH
PRJ_CODE_220100279,220100279,REWARI-ROHTAK,NR,,RAILWAYS,2004-04,2012-11,98,HIGH
PRJ_CODE_220100280,220100280,JIND-SONEPAT,NR,,RAILWAYS,2004-04,2012-11,98,HIGH
PRJ_CODE_220100281,220100281,SURAT-KOSAMBA,LD,,RAILWAYS,2004-04,2010-03,69,HIGH
PRJ_CODE_220100282,220100282,DHARMAVARAM-PAKALA,GC,,RAILWAYS,2004-04,2010-09,75,HIGH
PRJ_CODE_220100283,220100283,TANUR (KUTTIPURAM)- GURUVAYUR,SR,,RAILWAYS,2004-05,2010-03,68,HIGH
PRJ_CODE_220100284,220100284,"KHURDA ROAD-BOLANGIR(NL)ECOR - ECOR,Orissa",NL,,RAILWAYS,2009-03,2013-04,40,HIGH
PRJ_CODE_220100285,220100285,"HARIDASPUR-PARADEEP(NL) - RVNL,Orissa",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100286,220100286,"RAJATGARH-BARANG(LD),ECOR - RVNL,Orissa",LD,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100288,220100288,JIRIBAM TO IMPHAL,NEFR,,RAILWAYS,2004-06,2012-11,96,HIGH
PRJ_CODE_220100290,220100290,"REWARI-SADULPUR-HISSAR (GC),NWR -",GC,,RAILWAYS,2009-03,2010-02,7,HIGH
PRJ_CODE_220100291,220100291,BHILDI-SAMDARI,GC,,RAILWAYS,2004-06,2010-12,76,HIGH
PRJ_CODE_220100300,220100300,"KURLA-BHANDUP,5 AND 6TH P.I.,MUMBAI,CR -",,,RAILWAYS,2009-03,2010-03,8,HIGH
PRJ_CODE_220100303,220100303,HAJIPUR-SUGAULI via VAISHALI,NL,,RAILWAYS,2004-09,2012-11,94,HIGH
PRJ_CODE_220100304,220100304,KOSI BRIDGE,NL,,RAILWAYS,2004-09,2012-11,93,HIGH
PRJ_CODE_220100305,220100305,KODERMA-TILAIYA,NL,,RAILWAYS,2004-09,2012-11,93,HIGH
PRJ_CODE_220100306,220100306,"KODERMA GIRIDH (NL), ECR - ECR,Jharkhandd",NL,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100307,220100307,"RAIL-CUM-ROAD BRIDGE AT MUNGER (NL), ECR",NL,,RAILWAYS,2004-09,2012-11,93,HIGH
PRJ_CODE_220100308,220100308,PATNA GANGA BRIDGE,NL,,RAILWAYS,2004-09,2012-11,93,HIGH
PRJ_CODE_220100309,220100309,"BARBIGHA - SHEKHPURA + NEORA- DANIAWAN (NL), ECR -",NL,,RAILWAYS,2009-03,2010-03,8,HIGH
PRJ_CODE_220100310,220100310,"BIHARSHARIFF-BARBIGHA (NL), ECR -",NL,,RAILWAYS,2009-03,2010-03,8,HIGH
PRJ_CODE_220100311,220100311,"DANIAWAN-BIHARSARIF (NL), ECR -",NL,,RAILWAYS,2009-03,2012-11,10,HIGH
PRJ_CODE_220100312,220100312,RAJGIR-TILAIYA,NL,,RAILWAYS,2004-09,2010-10,71,HIGH
PRJ_CODE_220100313,220100313,"SRIGANGANAGAR-SARUPSAR (GC), NWR - NWR,Rajasthan",GC,,RAILWAYS,2009-03,2012-05,33,HIGH
PRJ_CODE_220100314,220100314,RAMGANJMUNDI-BHOPAL,NL,,RAILWAYS,2004-09,2012-11,93,HIGH
PRJ_CODE_220100315,220100315,"RANGIA-MURKONGSELEK, (GC) ALONG WITH LINKED FINGER - NEFR,Multi State",GC,,RAILWAYS,2009-03,2013-04,40,HIGH
PRJ_CODE_220100316,220100316,MAHARAJGANJ-MASRAKH,NL,,RAILWAYS,2004-09,2013-01,91,HIGH
PRJ_CODE_220100317,220100317,KICHHA-KHATIMA,NL,,RAILWAYS,2004-09,2011-02,75,HIGH
PRJ_CODE_220100318,220100318,"ETAWAH-MAINPURI (NL),NCR",NL,,RAILWAYS,2004-09,2010-03,64,HIGH
PRJ_CODE_220100319,220100319,HATHUA-BHATNI,NER,,RAILWAYS,2005-05,2013-04,89,HIGH
PRJ_CODE_220100321,220100321,BILASPUR-URKURA,DL,,RAILWAYS,2005-06,2012-11,85,HIGH
PRJ_CODE_220100322,220100322,PRATAPNAGAR-CHOTA UDAIPUR,WR,,RAILWAYS,2005-06,2011-12,76,HIGH
PRJ_CODE_220100323,220100323,RUPSA-BANGRIPOSI,SER,,RAILWAYS,2005-07,2012-11,72,HIGH
PRJ_CODE_220100324,220100324,"CHHINDWARA - NAGPUR (GC)(SECR) - SECR,Madhya pradesh",SECR,,RAILWAYS,2009-03,2013-04,40,HIGH
PRJ_CODE_220100325,220100325,"SUKINDA ROAD - ANGUL (NL)(ECOR) - RVNL,Orissa",ECOR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100326,220100326,CUTTACK - BARANG (LD) -,LD,,RAILWAYS,2009-03,2010-03,8,HIGH
PRJ_CODE_220100327,220100327,"KHURDA ROAD - BARANG 3RD LINE (DL) (ECOR) - RVNL,Orissa",ECOR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100328,220100328,"TALCHER-BIMALAGARH(NL)(ECOR) - ECOR,Orissa",ECOR,,RAILWAYS,2009-03,2013-01,39,HIGH
PRJ_CODE_220100329,220100329,"RAICHUR-GUNTAKAL(DL)(SCR) - RVNL,Andhra Pradesh",SCR,,RAILWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_220100330,220100330,GUNTUR-GUNTAKAL- KALLURU(GL)(SCR) -,SCR,,RAILWAYS,2009-03,2011-03,20,HIGH
PRJ_CODE_240100202,240100202,"PARADIP PORT,NH-5A (PORT CONNECTIVITY) KM 0 - KM 77 -",PORT CONNECTIVITY,,ROAD TRANSPORT & HIGHWAYS,2009-03,2009-03,1,HIGH
PRJ_CODE_240100203,240100203,"ALLAHABAD BYPASS (KM.158- KM.198) GQ, NH-2 -",KM.158- KM.198,,ROAD TRANSPORT & HIGHWAYS,2005-09,2010-08,14,HIGH
PRJ_CODE_240100204,240100204,"ALLAHABAD BYPASS (KM.198- KM.242.708) GQ, NH-2 -",KM.198- KM.242.708,,ROAD TRANSPORT & HIGHWAYS,2009-03,2010-08,13,HIGH
PRJ_CODE_240100206,240100206,"COCHIN PORT, NH-47 (PORT CONNECTIVITY) KMS 348 - KMS 358 -",PORT CONNECTIVITY,,ROAD TRANSPORT & HIGHWAYS,2009-03,2010-12,17,HIGH
PRJ_CODE_240100207,240100207,"SILCHAR-UDARBAND (PH.II) HN-54, KM.309 TO KM.275 - NHAI,Assam",PH.II,,ROAD TRANSPORT & HIGHWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_240101132,240101132,"HAVERI-HARIHAR (GQ) KM.340- KM.284 (NH-4) - NHAI,Karnataka",NH-4,,ROAD TRANSPORT & HIGHWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_240101133,240101133,"HARIHAR-CHITRADURGA (GQ) KM.284-KM.207 (NH-4) - NHAI,Karnataka",NH-4,,ROAD TRANSPORT & HIGHWAYS,2009-03,2012-11,37,HIGH
PRJ_CODE_240101134,240101134,"CHITRADURGA BY PASS, KM.207-KM.189 (NH-4)",NH-4,,ROAD TRANSPORT & HIGHWAYS,2002-06,2010-03,91,HIGH
PRJ_CODE_240101151,240101151,BHUBANESWAR-KHURDA (GQ) KM.387.7-KM.418 (NH-5) -,NH-5,,ROAD TRANSPORT & HIGHWAYS,2009-03,2010-03,8,HIGH
PRJ_CODE_240101153,240101153,"SUNAKHALA-GANJAM (GQ) KM.338- KM.284 (NH-5) - NHAI,Orissa",NH-5,,ROAD TRANSPORT & HIGHWAYS,2009-03,2012-11,37,HIGH
